Basename,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM
IR001.jpg,6.9913,1.7952,0.4495,0.058,0.9782,0.0034
IR002.jpg,25.8703,3.0148,0.3643,0.0335,0.9812,0.0011
IR003.jpg,19.7669,2.8012,0.3487,0.0382,0.975,0.0015
IR004.jpg,22.8684,2.8909,0.3658,0.0492,0.961,0.0024
IR005.jpg,43.3065,3.9689,0.2845,0.0356,0.9429,0.0013
IR006.jpg,4.7852,1.5812,0.4622,0.0516,0.9942,0.0027
IR007.jpg,13.0068,2.181,0.4247,0.0519,0.9716,0.0027
IR008.jpg,31.1547,3.5594,0.3038,0.0311,0.9738,0.001
IR009.jpg,46.3995,4.0595,0.2843,0.0408,0.8883,0.0017
IR010.jpg,70.9385,5.5751,0.2166,0.0288,0.9147,0.0008
IR011.jpg,10.6332,2.1121,0.4043,0.049,0.9809,0.0024
IR012.jpg,4.8276,1.5789,0.4632,0.0529,0.9941,0.0028
IR013.jpg,331.4201,12.4658,0.1263,0.0152,0.8207,0.0002
IR014.jpg,20.6964,2.8341,0.3502,0.0445,0.9533,0.002
IR015.jpg,4.751,1.4175,0.5059,0.0715,0.9807,0.0051
IR016.jpg,1.5991,0.8843,0.6254,0.1159,0.9824,0.0134
IR017.jpg,13.2137,2.2673,0.3926,0.0463,0.9857,0.0021
IR018.jpg,9.3996,2.166,0.3899,0.0429,0.9833,0.0018
IR019.jpg,34.222,3.4502,0.3373,0.0362,0.9607,0.0013
IR020.jpg,22.877,2.8793,0.3601,0.0381,0.9808,0.0015
IR021.jpg,25.6527,3.1213,0.3338,0.0298,0.9812,0.0009
IR022.jpg,73.8336,4.902,0.2976,0.0282,0.9361,0.0008
IR023.jpg,34.1405,3.1494,0.3978,0.055,0.8872,0.003
IR024.jpg,9.6109,2.1149,0.4028,0.0447,0.9854,0.002
IR025.jpg,27.4707,2.8239,0.3796,0.0455,0.9501,0.0021
IR026.jpg,19.0712,2.5488,0.396,0.0435,0.9736,0.0019
IR027.jpg,64.456,5.2539,0.2225,0.0326,0.8665,0.0011
IR028.jpg,13.8812,2.6654,0.3318,0.041,0.9721,0.0017
IR029.jpg,27.6104,3.2468,0.3283,0.0319,0.9877,0.001
IR030.jpg,21.4408,2.8524,0.3741,0.0429,0.9759,0.0018
IR031.jpg,41.1274,4.2543,0.2599,0.0303,0.9597,0.0009
IR032.jpg,78.7944,5.2707,0.2875,0.0336,0.9479,0.0011
IR033.jpg,33.5165,3.2717,0.396,0.0438,0.9691,0.0019
IR034.jpg,182.2832,8.1355,0.212,0.0282,0.8365,0.0008
IR035.jpg,7.5017,1.8518,0.4395,0.0613,0.9717,0.0038
IR036.jpg,15.3161,2.6783,0.3455,0.0435,0.9636,0.0019
IR037.jpg,3.0892,1.172,0.5575,0.069,0.9952,0.0048
IR038.jpg,12.3233,2.1382,0.4331,0.0578,0.973,0.0033
IR039.jpg,8.8798,2.0394,0.4134,0.0417,0.9972,0.0017
IR040.jpg,77.1811,5.7889,0.2111,0.0196,0.9702,0.0004
IR041.jpg,11.3643,1.7233,0.511,0.0547,0.986,0.003
IR042.jpg,70.6605,4.9088,0.279,0.028,0.9563,0.0008
IR043.jpg,60.0432,5.3133,0.2137,0.0272,0.9385,0.0007
IR044.jpg,15.2906,2.1,0.4517,0.0496,0.9853,0.0025
IR045.jpg,40.7659,4.1116,0.2753,0.0264,0.9715,0.0007
IR046.jpg,164.9754,6.4996,0.2729,0.0269,0.9238,0.0007
IR047.jpg,15.4303,2.5243,0.379,0.0357,0.9948,0.0013
IR048.jpg,5.8969,1.4545,0.5277,0.0647,0.9924,0.0042
IR049.jpg,6.6609,1.6875,0.4739,0.0449,0.9955,0.002
IR050.jpg,9.7367,2.1088,0.4034,0.0487,0.9767,0.0024
IR051.jpg,19.8741,2.975,0.3277,0.0517,0.9075,0.0027
IR052.jpg,27.8171,3.3328,0.3123,0.0508,0.8811,0.0026
IR053.jpg,3.0607,1.2903,0.5122,0.0604,0.992,0.0037
IR054.jpg,74.9647,6.0515,0.1882,0.0246,0.906,0.0006
IR055.jpg,29.3819,3.2716,0.3414,0.0375,0.9557,0.0014
IR056.jpg,26.0601,3.0607,0.3458,0.0522,0.9235,0.0027
IR057.jpg,13.9756,2.479,0.3836,0.0399,0.985,0.0016
IR058.jpg,1.2107,0.7315,0.679,0.0971,0.9935,0.0094
IR059.jpg,6.5808,1.7887,0.4392,0.0559,0.9804,0.0031
IR060.jpg,19.1037,2.5959,0.4013,0.0455,0.9825,0.0021
IR061.jpg,37.0309,3.7451,0.3178,0.0403,0.9208,0.0016
IR062.jpg,12.4539,2.1036,0.4412,0.0704,0.9407,0.005
IR063.jpg,55.7297,4.9101,0.2426,0.0331,0.8982,0.0011
IR064.jpg,44.9823,4.2519,0.2809,0.0264,0.9789,0.0007
IR065.jpg,9.9845,1.7339,0.4961,0.0557,0.9908,0.0031
IR066.jpg,10.5597,2.0034,0.4394,0.0412,0.9944,0.0017
IR067.jpg,47.0003,4.3307,0.2777,0.0401,0.8932,0.0016
IR068.jpg,17.4152,2.9337,0.3201,0.0304,0.9893,0.0009
IR069.jpg,149.5869,8.682,0.1377,0.0197,0.8871,0.0004
IR070.jpg,80.5594,5.7324,0.2233,0.0219,0.9643,0.0005
IR071.jpg,149.4859,7.8074,0.18,0.0222,0.8856,0.0005
IR072.jpg,2.6756,1.0943,0.5789,0.0764,0.9877,0.0058
IR073.jpg,0.3872,0.3428,0.833,0.125,0.9982,0.0156
IR074.jpg,6.3861,1.6388,0.4798,0.0535,0.9884,0.0029
IR075.jpg,112.1827,6.44,0.2203,0.0267,0.9093,0.0007
IR076.jpg,58.9711,4.9997,0.2446,0.028,0.9447,0.0008
IR077.jpg,59.3681,4.2838,0.3115,0.0338,0.9614,0.0011
IR078.jpg,41.8325,3.8063,0.3189,0.0433,0.9332,0.0019
IR079.jpg,7.9447,1.9127,0.4234,0.0556,0.9777,0.0031
IR080.jpg,10.8896,2.1519,0.4066,0.0401,0.9958,0.0016
IR081.jpg,129.9736,6.7018,0.2362,0.0276,0.8869,0.0008
IR082.jpg,5.1329,1.5894,0.4718,0.055,0.9899,0.003
IR083.jpg,12.7589,2.2766,0.3978,0.0379,0.9918,0.0014
IR084.jpg,18.5619,2.7034,0.361,0.0417,0.9664,0.0017
IR085.jpg,3.431,1.1908,0.5597,0.0483,0.9987,0.0023
IR086.jpg,10.1499,2.1917,0.3946,0.0342,0.9958,0.0012
IR087.jpg,54.047,4.893,0.2349,0.0266,0.9528,0.0007
IR088.jpg,18.9357,2.4803,0.3941,0.0435,0.9783,0.0019
IR089.jpg,3.5803,1.301,0.5205,0.0476,0.9968,0.0023
IR090.jpg,11.9373,2.0402,0.4404,0.0373,0.9947,0.0014
IR091.jpg,8.2958,1.9967,0.4167,0.0585,0.9627,0.0034
IR092.jpg,16.575,2.4181,0.4094,0.0371,0.9851,0.0014
IR093.jpg,95.4516,6.6755,0.1793,0.0179,0.9586,0.0003
IR094.jpg,173.3983,8.6425,0.1638,0.0186,0.9193,0.0003
IR095.jpg,3.4307,1.3448,0.5047,0.0602,0.9909,0.0036
IR096.jpg,66.5273,5.1969,0.235,0.0332,0.8821,0.0011
IR097.jpg,27.81,3.4076,0.2993,0.0427,0.9147,0.0018
IR098.jpg,26.9963,3.3999,0.3189,0.0384,0.9546,0.0015
IR099.jpg,23.2152,2.9048,0.3448,0.0422,0.9612,0.0018
IR100.jpg,58.1823,4.8672,0.235,0.0318,0.8934,0.001
IR101.jpg,32.02,3.7764,0.2847,0.0314,0.961,0.001
IR102.jpg,176.4666,9.7729,0.1188,0.0176,0.8566,0.0003
IR103.jpg,11.1867,2.3479,0.3636,0.0348,0.9914,0.0012
IR104.jpg,259.9972,10.9914,0.1297,0.0165,0.8266,0.0003
IR105.jpg,19.743,3.2004,0.301,0.0332,0.9746,0.0011
IR106.jpg,26.4998,2.8475,0.3972,0.0514,0.9496,0.0026
IR107.jpg,18.2613,2.6622,0.3766,0.0482,0.9823,0.0023
IR108.jpg,12.7908,2.3542,0.3892,0.0461,0.994,0.0021
IR109.jpg,14.873,2.4579,0.3839,0.0368,0.9839,0.0014
IR110.jpg,2.5908,1.1174,0.5639,0.0429,0.9992,0.0018
IR111.jpg,38.1828,3.8836,0.2995,0.032,0.9655,0.001
IR112.jpg,13.0191,2.5219,0.357,0.0309,0.9929,0.001
IR113.jpg,11.4826,2.1639,0.4056,0.0362,0.9964,0.0013
IR114.jpg,68.907,5.5725,0.2034,0.0238,0.9486,0.0006
IR115.jpg,50.882,4.3673,0.274,0.026,0.9722,0.0007
IR116.jpg,40.8477,3.9346,0.2996,0.0292,0.9838,0.0009
IR117.jpg,14.1651,2.2835,0.3918,0.0429,0.9939,0.0018
IR118.jpg,16.2593,2.7023,0.3651,0.0326,0.9933,0.0011
IR119.jpg,0.999,0.6621,0.7016,0.0711,0.9994,0.0051
IR120.jpg,9.2227,1.877,0.4585,0.0561,0.9867,0.0031
IR121.jpg,8.5504,2.0746,0.395,0.0481,0.9911,0.0023
IR122.jpg,20.7766,2.9716,0.3363,0.0314,0.9898,0.001
IR123.jpg,13.0592,2.49,0.362,0.0456,0.9746,0.0021
IR124.jpg,7.9312,1.8392,0.4369,0.0422,0.9933,0.0018
IR125.jpg,4.6361,1.543,0.4701,0.0494,0.9928,0.0024
IR126.jpg,25.8623,2.878,0.3928,0.0367,0.9783,0.0013
IR127.jpg,106.9769,7.1228,0.1771,0.0259,0.8827,0.0007
IR128.jpg,8.6699,2.0125,0.4111,0.0391,0.9921,0.0015
IR129.jpg,369.1496,13.3022,0.1234,0.017,0.8287,0.0003
IR130.jpg,2.4237,1.0576,0.5857,0.0462,0.999,0.0021
IR131.jpg,21.9212,2.4373,0.431,0.037,0.9945,0.0014
