NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(0, 23, 40, 24)","(80.936, 4.945, 12.489)","(25, 40.41, 75.69)",60.86,3753,"(193, 172, 115)","(35, 33, 20)"
"(0, 8, 14, 31)","(82.426, 1.346, 4.026)","(28, 14.86, 68.63)",63.96,5346,"(175, 171, 149)","(36, 37, 33)"
"(0, 25, 39, 33)","(76.6, 6.053, 10.312)","(21, 39.05, 66.27)",52.35,3833,"(169, 138, 103)","(26, 24, 16)"
"(0, 16, 28, 16)","(86.114, 3.614, 8.669)","(25, 28.97, 83.92)",72.07,4405,"(214, 196, 152)","(49, 48, 36)"
"(0, 21, 37, 23)","(81.923, 4.242, 11.618)","(26, 37.44, 76.47)",62.9,3916,"(195, 178, 122)","(37, 35, 22)"
"(0, 20, 29, 30)","(79.248, 5.126, 7.052)","(18, 29.55, 69.02)",57.45,4358,"(176, 147, 124)","(30, 29, 22)"
"(0, 22, 34, 55)","(67.102, 4.672, 7.291)","(20, 34.21, 44.71)",36.31,4086,"(114, 94, 75)","(11, 11, 8)"
"(0, 9, 16, 34)","(80.62, 1.76, 4.32)","(26, 16.77, 65.49)",60.21,5204,"(167, 160, 139)","(31, 32, 29)"
"(0, 8, 12, 43)","(76.524, 1.757, 2.616)","(20, 12.59, 56.08)",52.2,5491,"(143, 134, 125)","(23, 23, 23)"
"(0, 16, 27, 27)","(82.008, 3.333, 7.63)","(25, 27.42, 72.94)",63.08,4501,"(186, 170, 135)","(36, 35, 27)"
"(0, 19, 26, 38)","(76.397, 4.683, 5.801)","(17, 26.75, 61.57)",51.97,4525,"(157, 131, 115)","(24, 23, 19)"
"(0, 6, 11, 32)","(82.348, 1.101, 3.036)","(27, 11.63, 67.45)",63.8,5580,"(172, 168, 152)","(35, 36, 34)"
"(0, 13, 18, 30)","(81.327, 3.27, 3.899)","(17, 18.18, 69.02)",61.66,5093,"(176, 156, 144)","(34, 34, 31)"
"(0, 14, 21, 61)","(65.21, 2.65, 4.016)","(20, 21.65, 38.04)",33.52,4853,"(97, 86, 76)","(9, 9, 7)"
"(0, 15, 29, 7)","(89.56, 2.972, 9.853)","(28, 29.66, 92.55)",80.19,4358,"(236, 228, 166)","(61, 61, 44)"
"(0, 32, 52, 37)","(72.746, 7.57, 15.18)","(22, 52.2, 62.35)",45.42,3208,"(159, 125, 76)","(21, 18, 9)"
