Basename,HCMYK,HLAB,HHSV,HLUM,HTEMP,HRYB,HXYZ
IR001.jpg,"(0, 25, 42, 38)","(74.475, 5.292, 12.011)","(24, 42.68, 61.57)",48.45,3654,"(157, 135, 90)","(22, 20, 12)"
IR002.jpg,"(0, 9, 13, 43)","(76.359, 1.962, 2.699)","(19, 13.29, 56.08)",51.89,5461,"(143, 132, 124)","(22, 22, 22)"
IR003.jpg,"(0, 28, 43, 44)","(70.908, 6.309, 11.221)","(21, 43.97, 55.29)",42.32,3578,"(141, 113, 79)","(17, 15, 9)"
IR004.jpg,"(0, 17, 29, 42)","(74.638, 3.505, 7.368)","(24, 29.45, 57.25)",48.75,4358,"(146, 131, 103)","(21, 20, 16)"
IR005.jpg,"(0, 23, 41, 45)","(71.916, 4.317, 11.418)","(26, 41.43, 54.9)",44.0,3713,"(140, 125, 82)","(17, 16, 9)"
IR006.jpg,"(0, 14, 25, 57)","(67.861, 2.329, 5.823)","(26, 25.69, 42.75)",37.46,4599,"(109, 102, 81)","(11, 11, 9)"
IR007.jpg,"(0, 23, 34, 62)","(62.803, 4.397, 6.858)","(20, 34.74, 37.25)",30.15,4064,"(95, 78, 62)","(7, 7, 5)"
IR008.jpg,"(0, 12, 18, 48)","(73.426, 2.501, 3.768)","(20, 18.18, 51.76)",46.6,5093,"(132, 120, 108)","(18, 18, 16)"
IR009.jpg,"(0, 13, 20, 49)","(72.322, 2.665, 4.284)","(21, 20.31, 50.2)",44.69,4958,"(128, 115, 102)","(17, 17, 14)"
IR010.jpg,"(0, 17, 29, 47)","(72.318, 3.373, 7.271)","(24, 29.85, 52.55)",44.69,4335,"(134, 120, 94)","(17, 17, 12)"
IR011.jpg,"(0, 22, 34, 56)","(66.524, 4.492, 7.304)","(21, 34.23, 43.53)",35.44,4086,"(111, 92, 73)","(11, 10, 8)"
IR012.jpg,"(0, 9, 14, 52)","(71.662, 1.956, 2.924)","(20, 14.88, 47.45)",43.58,5346,"(121, 112, 103)","(15, 15, 15)"
IR013.jpg,"(0, 17, 24, 45)","(73.55, 3.95, 5.049)","(18, 24.46, 54.51)",46.82,4673,"(139, 119, 105)","(19, 18, 15)"
IR014.jpg,"(0, 13, 20, 70)","(59.764, 2.177, 3.283)","(20, 20.0, 29.41)",26.18,4958,"(75, 67, 60)","(5, 5, 5)"
IR015.jpg,"(0, 18, 32, 21)","(83.645, 3.691, 10.05)","(26, 32.84, 78.82)",66.58,4175,"(201, 186, 135)","(41, 40, 28)"
IR016.jpg,"(0, 33, 54, 47)","(68.064, 6.92, 15.076)","(23, 54.14, 52.16)",37.78,3127,"(133, 106, 61)","(13, 12, 6)"
IR017.jpg,"(0, 16, 30, 29)","(80.778, 2.854, 8.941)","(28, 30.17, 70.2)",60.53,4335,"(179, 171, 125)","(33, 32, 24)"
IR018.jpg,"(0, 13, 25, 48)","(72.713, 2.057, 6.697)","(28, 25.95, 51.37)",45.36,4574,"(131, 127, 97)","(17, 17, 13)"
IR019.jpg,"(0, 19, 30, 40)","(75.426, 4.049, 7.471)","(22, 30.26, 59.61)",50.17,4311,"(152, 132, 106)","(22, 21, 16)"
IR020.jpg,"(0, 18, 32, 27)","(80.968, 3.644, 9.558)","(26, 32.61, 72.16)",60.92,4175,"(184, 169, 124)","(34, 33, 23)"
IR021.jpg,"(0, 18, 26, 43)","(74.325, 4.282, 5.848)","(18, 26.9, 56.86)",48.19,4525,"(145, 123, 106)","(20, 19, 15)"
IR022.jpg,"(0, 38, 59, 34)","(72.134, 9.862, 17.809)","(21, 59.04, 65.1)",44.37,2943,"(166, 120, 68)","(21, 17, 7)"
IR023.jpg,"(0, 19, 27, 60)","(64.993, 4.064, 5.031)","(17, 27.72, 39.61)",33.21,4476,"(101, 84, 73)","(9, 8, 7)"
IR024.jpg,"(0, 27, 41, 34)","(75.618, 6.47, 11.065)","(21, 41.57, 65.1)",50.52,3713,"(166, 133, 97)","(24, 22, 14)"
IR025.jpg,"(0, 7, 13, 29)","(83.487, 1.146, 3.873)","(29, 13.89, 70.59)",66.23,5403,"(180, 178, 155)","(38, 40, 36)"
IR026.jpg,"(0, 12, 28, 42)","(75.886, 1.062, 8.799)","(34, 28.77, 57.25)",51.02,4405,"(135, 146, 104)","(22, 22, 16)"
IR027.jpg,"(0, 13, 24, 49)","(72.517, 2.295, 6.039)","(26, 24.62, 50.98)",45.03,4673,"(130, 122, 98)","(16, 16, 13)"
IR028.jpg,"(0, 27, 47, 43)","(71.681, 5.181, 13.579)","(26, 47.22, 56.47)",43.61,3432,"(144, 126, 76)","(17, 16, 8)"
IR029.jpg,"(0, 21, 36, 53)","(68.237, 3.687, 8.94)","(25, 36.44, 46.27)",38.05,3979,"(118, 105, 75)","(12, 12, 8)"
IR030.jpg,"(0, 13, 25, 23)","(84.38, 2.33, 7.524)","(28, 25.0, 76.86)",68.18,4648,"(196, 190, 147)","(42, 42, 33)"
IR031.jpg,"(0, 24, 43, 29)","(78.329, 4.929, 13.534)","(26, 43.58, 70.2)",55.65,3597,"(179, 161, 101)","(29, 27, 16)"
IR032.jpg,"(0, 16, 26, 56)","(67.733, 2.945, 5.645)","(23, 26.36, 43.14)",37.27,4549,"(110, 98, 81)","(11, 11, 9)"
IR033.jpg,"(0, 20, 26, 46)","(72.186, 5.159, 4.866)","(13, 26.47, 53.33)",44.46,4549,"(136, 110, 100)","(18, 16, 14)"
IR034.jpg,"(0, 8, 20, 65)","(64.249, 0.715, 4.75)","(33, 20.22, 34.9)",32.15,4958,"(85, 89, 71)","(8, 8, 6)"
IR035.jpg,"(0, 11, 19, 59)","(67.461, 1.897, 3.986)","(24, 19.23, 40.78)",36.85,5012,"(104, 97, 84)","(11, 11, 10)"
IR036.jpg,"(0, 11, 24, 34)","(79.828, 1.36, 7.51)","(32, 24.7, 65.1)",58.61,4673,"(160, 166, 125)","(29, 30, 24)"
IR037.jpg,"(0, 20, 47, 44)","(72.656, 1.908, 15.763)","(34, 47.52, 55.29)",45.26,3414,"(125, 141, 74)","(18, 17, 9)"
IR038.jpg,"(0, 14, 25, 41)","(75.916, 2.412, 6.759)","(27, 25.68, 58.04)",51.07,4599,"(148, 140, 110)","(22, 22, 18)"
IR039.jpg,"(0, 14, 31, 38)","(77.334, 1.798, 9.531)","(32, 31.21, 61.57)",53.73,4266,"(151, 157, 108)","(25, 25, 17)"
IR040.jpg,"(0, 19, 35, 61)","(63.963, 2.929, 8.058)","(26, 35.05, 38.04)",31.75,4043,"(97, 89, 63)","(8, 8, 5)"
IR041.jpg,"(0, 12, 27, 31)","(81.039, 1.388, 8.976)","(33, 28.0, 68.63)",61.07,4452,"(165, 175, 126)","(32, 33, 24)"
IR042.jpg,"(0, 17, 33, 51)","(70.266, 2.599, 8.962)","(29, 33.87, 48.63)",41.27,4108,"(124, 120, 82)","(14, 14, 9)"
IR043.jpg,"(0, 14, 27, 52)","(70.148, 2.301, 6.765)","(27, 27.5, 47.06)",41.08,4476,"(120, 114, 87)","(14, 14, 11)"
IR044.jpg,"(0, 9, 22, 34)","(80.426, 0.513, 7.418)","(36, 22.89, 65.1)",59.82,4775,"(152, 166, 128)","(30, 31, 25)"
IR045.jpg,"(0, 14, 28, 46)","(73.662, 2.099, 7.727)","(29, 28.47, 53.73)",47.01,4429,"(137, 135, 98)","(18, 19, 14)"
IR046.jpg,"(0, 19, 37, 36)","(76.872, 3.37, 11.011)","(28, 37.04, 63.53)",52.86,3936,"(162, 154, 102)","(25, 24, 15)"
IR047.jpg,"(0, 18, 31, 52)","(69.362, 3.145, 7.643)","(25, 31.67, 47.06)",39.81,4242,"(120, 109, 82)","(13, 13, 9)"
IR048.jpg,"(0, 18, 40, 46)","(72.43, 2.304, 12.122)","(32, 40.15, 53.73)",44.88,3773,"(131, 137, 82)","(17, 17, 9)"
IR049.jpg,"(0, 21, 37, 54)","(67.965, 3.584, 9.405)","(26, 37.61, 45.88)",37.62,3916,"(117, 106, 73)","(12, 12, 8)"
IR050.jpg,"(0, 16, 32, 33)","(79.136, 2.468, 10.134)","(30, 32.94, 66.67)",57.23,4153,"(170, 170, 114)","(29, 29, 20)"
IR051.jpg,"(0, 26, 46, 34)","(75.905, 5.489, 14.1)","(25, 46.43, 65.88)",51.05,3468,"(168, 147, 90)","(25, 23, 12)"
IR052.jpg,"(0, 19, 37, 28)","(80.39, 3.471, 11.659)","(28, 37.16, 71.76)",59.74,3936,"(183, 175, 115)","(32, 31, 20)"
IR053.jpg,"(0, 28, 51, 38)","(73.682, 5.428, 16.066)","(27, 51.27, 61.96)",47.05,3258,"(158, 141, 77)","(21, 19, 9)"
IR054.jpg,"(0, 23, 37, 45)","(72.0, 4.883, 9.548)","(23, 37.86, 54.9)",44.15,3895,"(140, 119, 87)","(17, 16, 11)"
IR055.jpg,"(0, 4, 9, 50)","(73.813, 0.275, 2.557)","(35, 9.6, 49.02)",47.28,5730,"(121, 125, 113)","(18, 19, 18)"
IR056.jpg,"(0, 24, 42, 40)","(73.67, 4.764, 11.991)","(25, 42.38, 59.22)",47.03,3654,"(151, 133, 87)","(20, 19, 12)"
