NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(0, 6, 13, 43)","(76.808, 1.037, 3.35)","(28, 13.29, 56.08)",52.74,5461,"(143, 141, 124)","(22, 23, 22)"
"(0, 20, 33, 38)","(75.942, 4.283, 8.593)","(23, 33.12, 61.57)",51.12,4153,"(157, 137, 105)","(24, 23, 16)"
"(0, 8, 16, 30)","(82.624, 1.329, 4.611)","(29, 16.38, 69.41)",64.38,5232,"(177, 175, 148)","(36, 37, 33)"
"(0, 25, 38, 32)","(77.224, 5.974, 10.16)","(21, 38.37, 67.45)",53.52,3874,"(172, 141, 106)","(27, 25, 16)"
"(0, 17, 29, 17)","(85.458, 3.823, 8.856)","(25, 29.86, 82.75)",70.58,4335,"(211, 192, 148)","(47, 46, 34)"
"(0, 20, 38, 41)","(74.29, 3.576, 10.936)","(27, 38.26, 58.43)",48.12,3874,"(149, 139, 92)","(20, 20, 13)"
"(0, 19, 27, 22)","(82.984, 5.265, 6.696)","(17, 27.78, 77.65)",65.15,4476,"(198, 165, 143)","(40, 38, 30)"
"(0, 22, 33, 54)","(67.619, 4.616, 7.193)","(20, 33.62, 45.49)",37.09,4130,"(116, 96, 77)","(11, 11, 8)"
"(0, 9, 17, 23)","(85.44, 1.742, 5.104)","(27, 17.86, 76.86)",70.54,5121,"(196, 190, 161)","(44, 45, 40)"
"(0, 16, 24, 51)","(70.577, 3.326, 5.077)","(20, 24.39, 48.24)",41.78,4673,"(123, 108, 93)","(15, 15, 12)"
"(0, 17, 29, 27)","(81.511, 3.627, 8.14)","(24, 29.19, 72.55)",62.05,4382,"(185, 168, 131)","(35, 34, 26)"
"(0, 24, 36, 47)","(70.656, 5.504, 8.382)","(20, 36.57, 52.55)",41.91,3957,"(134, 108, 85)","(16, 15, 10)"
"(0, 6, 12, 31)","(82.704, 1.0, 3.277)","(29, 12.07, 68.24)",64.56,5550,"(174, 172, 153)","(36, 37, 35)"
"(0, 13, 19, 32)","(80.411, 3.512, 4.044)","(16, 19.19, 67.45)",59.79,5039,"(172, 151, 139)","(32, 32, 29)"
"(0, 15, 21, 61)","(65.015, 3.056, 3.734)","(17, 21.65, 38.04)",33.24,4853,"(97, 84, 76)","(9, 8, 7)"
"(0, 16, 30, 9)","(88.783, 3.17, 10.075)","(28, 30.6, 90.98)",78.31,4288,"(232, 222, 161)","(59, 58, 42)"
"(0, 32, 52, 34)","(73.996, 7.869, 15.341)","(22, 52.1, 65.49)",47.6,3225,"(167, 130, 80)","(23, 20, 10)"
"(0, 16, 27, 21)","(84.25, 3.345, 7.939)","(25, 27.5, 78.43)",67.9,4476,"(200, 184, 145)","(42, 42, 32)"
"(0, 15, 27, 30)","(80.752, 2.879, 7.632)","(26, 27.12, 69.41)",60.48,4501,"(177, 166, 129)","(32, 32, 25)"
"(0, 18, 29, 30)","(79.852, 4.129, 7.924)","(23, 29.94, 69.41)",58.66,4335,"(177, 156, 124)","(31, 30, 23)"
"(0, 16, 28, 12)","(87.448, 3.355, 8.942)","(26, 28.83, 87.06)",75.15,4405,"(222, 207, 158)","(53, 53, 39)"
"(0, 14, 25, 21)","(84.506, 2.916, 7.431)","(26, 25.63, 78.04)",68.46,4599,"(199, 186, 148)","(43, 42, 34)"
"(0, 30, 48, 23)","(78.94, 7.435, 15.201)","(23, 48.97, 76.08)",56.84,3361,"(194, 156, 99)","(33, 29, 15)"
"(0, 21, 32, 46)","(71.936, 4.816, 7.502)","(20, 32.85, 53.73)",44.04,4175,"(137, 114, 92)","(17, 16, 12)"
"(0, 24, 38, 15)","(84.192, 5.976, 11.515)","(22, 38.43, 84.71)",67.77,3874,"(216, 182, 133)","(45, 42, 27)"
"(0, 5, 11, 22)","(86.928, 0.835, 3.248)","(30, 11.11, 77.65)",73.94,5609,"(198, 198, 176)","(48, 50, 47)"
"(0, 10, 24, 34)","(80.48, 0.684, 8.137)","(36, 25.0, 65.88)",59.93,4648,"(154, 168, 126)","(30, 31, 24)"
"(0, 10, 20, 39)","(78.053, 1.742, 5.538)","(28, 20.65, 60.78)",55.11,4931,"(155, 151, 123)","(26, 26, 22)"
