HCMYK,NCMYK,HLAB,NLAB,HHSV,NHSV,HLUM,NLUM,HTEMP,NTEMP,HRYB,NRYB,HXYZ,NXYZ
"(0, 8, 20, 25)","(0, 16, 23, 64)","(84.712, 0.639, 6.824)","(63.341, 3.184, 3.901)","(35, 20.53, 74.51)","(17, 23.08, 35.69)",68.92,30.88,4931,4775,"(178, 190, 151)","(91, 78, 70)","(41, 43, 35)","(7, 7, 6)"
"(0, 11, 31, 16)","(0, 25, 59, 86)","(87.065, 0.518, 11.729)","(44.468, 1.222, 10.662)","(37, 31.13, 83.14)","(34, 60.0, 13.73)",74.26,10.61,4266,2899,"(186, 212, 146)","(29, 35, 14)","(50, 51, 34)","(1, 1, 0)"
"(0, 13, 26, 12)","(0, 11, 15, 68)","(88.54, 2.193, 8.876)","(61.574, 2.096, 2.165)","(30, 26.79, 87.84)","(15, 15.0, 31.37)",77.73,28.51,4525,5317,"(224, 224, 164)","(80, 72, 68)","(56, 57, 43)","(6, 6, 6)"
"(0, 9, 18, 10)","(28, 13, 0, 76)","(90.466, 1.634, 5.94)","(53.989, -1.664, -4.954)","(29, 18.78, 89.8)","(208, 28.81, 23.14)",82.42,19.48,5066,14388,"(229, 227, 186)","(42, 47, 59)","(63, 64, 55)","(2, 2, 4)"
"(6, 1, 0, 7)","(0, 17, 32, 84)","(93.361, -1.268, -1.383)","(47.728, 1.599, 4.91)","(196, 6.38, 92.16)","(28, 32.5, 15.69)",89.78,13.35,7262,4197,"(220, 226, 235)","(40, 38, 27)","(73, 78, 89)","(1, 1, 1)"
"(0, 12, 25, 20)","(0, 27, 46, 81)","(85.586, 2.101, 7.859)","(48.625, 3.329, 7.734)","(29, 25.12, 79.61)","(25, 46.81, 18.43)",70.87,14.16,4623,3450,"(203, 201, 152)","(47, 40, 25)","(46, 46, 35)","(2, 2, 1)"
"(0, 12, 25, 18)","(0, 0, 18, 91)","(86.252, 1.902, 8.269)","(41.727, -1.095, 3.062)","(31, 25.6, 81.18)","(60, 18.18, 8.63)",72.38,8.51,4599,5093,"(205, 207, 154)","(18, 22, 18)","(47, 48, 37)","(0, 1, 1)"
"(0, 6, 37, 28)","(0, 79, 100, 90)","(83.416, -3.098, 16.251)","(19.625, 39.398, 29.957)","(49, 37.36, 71.37)","(12, 100.0, 9.41)",66.08,3.4,3916,1000,"(128, 182, 114)","(24, 6, 0)","(36, 39, 21)","(0, 0, 0)"
"(0, 19, 34, 12)","(0, 15, 40, 71)","(86.6, 3.934, 11.411)","(58.257, 0.445, 10.051)","(27, 34.98, 87.45)","(37, 40.28, 28.24)",73.18,24.33,4043,3773,"(223, 208, 145)","(60, 72, 43)","(52, 50, 33)","(4, 4, 2)"
"(0, 18, 37, 18)","(0, 33, 59, 94)","(84.488, 3.077, 12.812)","(17.265, 34.353, 24.011)","(30, 37.5, 81.57)","(27, 60.0, 5.88)",68.42,4.23,3916,2899,"(208, 208, 130)","(15, 13, 6)","(44, 43, 26)","(0, 0, 0)"
