HCMYK,HLAB,HHSV,HLUM,HTEMP,HRYB,HXYZ
"(0, 10, 19, 56)","(69.437, 1.564, 4.514)","(27, 19.64, 43.92)",39.93,4985,"(112, 108, 90)","(13, 13, 11)"
"(0, 24, 40, 54)","(67.174, 4.746, 9.593)","(23, 40.17, 45.88)",36.42,3773,"(117, 99, 70)","(12, 11, 7)"
"(0, 10, 16, 41)","(77.014, 1.91, 3.999)","(24, 16.89, 58.04)",53.12,5176,"(148, 139, 123)","(24, 24, 22)"
"(0, 28, 43, 42)","(71.947, 6.593, 11.106)","(21, 43.54, 57.65)",44.06,3597,"(147, 116, 83)","(18, 16, 10)"
"(0, 26, 44, 38)","(74.112, 5.635, 12.656)","(24, 44.59, 61.57)",47.81,3560,"(157, 133, 87)","(21, 20, 12)"
"(0, 10, 25, 69)","(60.711, 0.473, 6.146)","(36, 25.97, 30.2)",27.39,4574,"(70, 77, 57)","(5, 6, 4)"
"(0, 16, 27, 53)","(69.504, 2.811, 6.223)","(24, 27.12, 46.27)",40.04,4501,"(118, 107, 86)","(13, 13, 10)"
"(0, 19, 30, 64)","(62.578, 3.483, 6.027)","(21, 30.77, 35.69)",29.85,4288,"(91, 78, 63)","(7, 7, 5)"
"(0, 10, 18, 31)","(81.624, 1.891, 4.911)","(26, 18.39, 68.24)",62.28,5093,"(174, 166, 142)","(33, 34, 30)"
"(0, 20, 30, 58)","(65.612, 4.239, 5.952)","(19, 30.48, 41.18)",34.1,4311,"(105, 87, 73)","(10, 9, 7)"
"(0, 16, 28, 48)","(72.236, 3.061, 6.765)","(24, 28.03, 51.76)",44.55,4452,"(132, 120, 95)","(17, 17, 12)"
"(0, 19, 31, 57)","(66.563, 3.505, 6.904)","(23, 31.48, 42.35)",35.5,4242,"(108, 95, 74)","(11, 10, 8)"
"(0, 8, 13, 54)","(70.855, 1.542, 2.814)","(22, 13.79, 45.49)",42.23,5403,"(116, 109, 100)","(14, 14, 14)"
"(0, 20, 28, 47)","(71.855, 4.636, 5.855)","(17, 28.36, 52.55)",43.9,4429,"(134, 111, 96)","(17, 16, 13)"
"(0, 13, 20, 71)","(58.814, 2.232, 3.371)","(20, 20.83, 28.24)",25.01,4905,"(72, 64, 57)","(4, 5, 4)"
"(0, 18, 34, 15)","(85.692, 3.851, 10.957)","(27, 34.26, 84.71)",71.11,4086,"(216, 201, 142)","(48, 47, 32)"
"(0, 33, 53, 40)","(71.307, 7.598, 15.677)","(23, 53.95, 59.61)",42.98,3143,"(152, 119, 70)","(18, 16, 7)"
"(0, 17, 31, 32)","(79.263, 3.13, 9.329)","(27, 31.98, 67.45)",57.48,4220,"(172, 162, 117)","(29, 29, 21)"
"(0, 11, 22, 54)","(70.408, 1.394, 5.56)","(30, 22.22, 45.88)",41.5,4827,"(117, 117, 91)","(14, 14, 11)"
"(0, 18, 29, 60)","(64.875, 3.411, 6.18)","(22, 30.0, 39.22)",33.04,4335,"(100, 87, 70)","(9, 8, 6)"
"(0, 19, 32, 52)","(69.414, 3.372, 7.724)","(25, 32.23, 47.45)",39.9,4197,"(121, 109, 82)","(13, 13, 9)"
"(0, 18, 25, 50)","(70.968, 3.963, 5.285)","(18, 25.98, 49.8)",42.42,4574,"(127, 108, 94)","(15, 15, 12)"
"(0, 35, 55, 36)","(72.286, 8.587, 16.244)","(22, 55.28, 63.14)",44.63,3096,"(161, 121, 72)","(20, 18, 8)"
"(0, 20, 30, 54)","(68.058, 4.348, 6.155)","(19, 30.17, 45.49)",37.77,4335,"(116, 97, 81)","(12, 12, 9)"
"(0, 25, 39, 45)","(71.399, 5.385, 9.874)","(22, 39.57, 54.51)",43.14,3813,"(139, 115, 84)","(17, 16, 10)"
"(0, 6, 13, 29)","(83.448, 0.974, 3.813)","(30, 13.41, 70.2)",66.15,5432,"(179, 179, 155)","(38, 39, 36)"
"(0, 12, 28, 42)","(76.098, 1.057, 8.755)","(34, 28.57, 57.65)",51.41,4429,"(136, 147, 105)","(22, 22, 16)"
"(0, 10, 15, 58)","(68.227, 2.005, 2.724)","(19, 15.09, 41.57)",38.03,5317,"(106, 97, 90)","(11, 11, 11)"
"(0, 23, 44, 51)","(68.558, 3.599, 12.485)","(28, 44.72, 48.24)",38.54,3541,"(123, 117, 68)","(13, 12, 7)"
"(0, 20, 32, 23)","(82.125, 4.524, 9.376)","(23, 32.99, 76.08)",63.33,4153,"(194, 171, 130)","(38, 36, 25)"
"(0, 13, 25, 25)","(83.3, 2.381, 7.701)","(28, 25.79, 74.51)",65.83,4599,"(190, 184, 141)","(39, 39, 31)"
"(0, 25, 44, 40)","(73.685, 4.749, 12.803)","(26, 44.08, 59.61)",47.05,3578,"(152, 136, 85)","(20, 19, 11)"
"(0, 17, 27, 56)","(67.769, 3.055, 6.117)","(23, 27.93, 43.53)",37.32,4452,"(111, 99, 80)","(11, 11, 9)"
"(0, 20, 26, 47)","(71.722, 5.213, 4.92)","(13, 26.87, 52.55)",43.68,4525,"(134, 108, 98)","(17, 15, 13)"
"(0, 13, 25, 60)","(65.922, 1.936, 5.925)","(28, 26.0, 39.22)",34.55,4574,"(100, 96, 74)","(9, 9, 7)"
