Basename,HCMYK,HLAB,HHSV,HLUM,HTEMP,HRYB,HXYZ
127(1).jpg,"(0, 3, 6, 69)","(62.69, 0.538, 1.094)","(24, 6.33, 30.98)",30.0,5979,"(79, 77, 74)","(7, 7, 7)"
127.jpg,"(0, 10, 14, 52)","(71.26, 2.314, 2.696)","(17, 15.0, 47.06)",42.9,5317,"(120, 108, 102)","(15, 15, 14)"
IR000.jpg,"(36, 14, 0, 81)","(49.584, -2.517, -5.197)","(205, 36.17, 18.43)",15.05,24464,"(30, 36, 47)","(1, 1, 3)"
IR002.jpg,"(20, 13, 0, 68)","(60.615, -0.04, -5.069)","(219, 20.99, 31.76)",27.26,10318,"(64, 68, 81)","(5, 5, 8)"
IR003.jpg,"(19, 12, 0, 77)","(53.986, -0.094, -3.911)","(218, 19.3, 22.35)",19.47,9798,"(46, 48, 57)","(3, 3, 4)"
IR004.jpg,"(27, 12, 0, 81)","(50.231, -1.491, -4.2)","(208, 27.66, 18.43)",15.66,13557,"(34, 38, 47)","(2, 2, 3)"
IR005.jpg,"(21, 10, 0, 74)","(56.243, -1.075, -4.008)","(210, 21.88, 25.1)",21.97,10604,"(50, 54, 64)","(3, 3, 5)"
IR006.jpg,"(0, 13, 17, 38)","(77.951, 3.428, 3.172)","(13, 17.2, 61.57)",54.91,5176,"(157, 137, 130)","(26, 26, 24)"
IR007.jpg,"(0, 20, 29, 53)","(68.813, 4.272, 6.038)","(19, 29.41, 46.67)",38.94,4358,"(119, 100, 84)","(12, 12, 10)"
IR008.jpg,"(20, 16, 0, 88)","(43.521, 0.802, -3.548)","(230, 20.0, 11.76)",9.86,9922,"(24, 24, 30)","(0, 1, 1)"
IR009.jpg,"(43, 22, 0, 74)","(53.784, -2.128, -8.723)","(211, 43.94, 25.88)",19.26,40000,"(37, 46, 66)","(2, 2, 5)"
IR010.jpg,"(32, 18, 0, 72)","(56.515, -1.004, -6.891)","(214, 32.39, 27.84)",22.28,17714,"(48, 54, 71)","(3, 3, 6)"
IR011.jpg,"(0, 21, 29, 50)","(70.214, 4.93, 5.734)","(16, 29.13, 49.8)",41.18,4382,"(127, 103, 90)","(15, 14, 11)"
IR012.jpg,"(37, 18, 0, 74)","(54.871, -2.268, -7.069)","(209, 37.88, 25.88)",20.43,30024,"(41, 49, 66)","(3, 3, 5)"
IR013.jpg,"(21, 13, 0, 85)","(47.134, -0.143, -3.456)","(218, 21.05, 14.9)",12.83,10318,"(30, 32, 38)","(1, 1, 2)"
IR014.jpg,"(15, 13, 0, 82)","(49.518, 0.874, -3.499)","(231, 15.91, 17.25)",14.99,8845,"(37, 37, 44)","(2, 2, 3)"
IR015.jpg,"(11, 11, 0, 53)","(70.384, 1.356, -4.28)","(236, 11.86, 46.27)",41.46,8052,"(104, 104, 118)","(14, 14, 19)"
IR016.jpg,"(0, 28, 44, 45)","(70.189, 6.412, 11.433)","(21, 44.93, 54.12)",41.14,3541,"(138, 110, 76)","(15, 14, 8)"
IR017.jpg,"(0, 6, 9, 52)","(72.67, 1.393, 1.567)","(16, 9.02, 47.84)",45.29,5792,"(122, 115, 111)","(16, 17, 17)"
IR018.jpg,"(50, 28, 0, 62)","(59.361, -2.009, -12.726)","(214, 50.53, 37.25)",25.68,40000,"(47, 61, 95)","(5, 5, 11)"
IR019.jpg,"(23, 15, 0, 84)","(47.167, 0.085, -4.033)","(220, 23.08, 15.29)",12.86,11073,"(30, 32, 39)","(1, 1, 2)"
IR020.jpg,"(21, 14, 0, 64)","(62.739, 0.256, -5.555)","(221, 21.11, 35.29)",30.06,10318,"(71, 75, 90)","(6, 7, 10)"
IR021.jpg,"(31, 26, 0, 72)","(54.637, 1.903, -8.779)","(229, 31.88, 27.06)",20.18,17263,"(47, 50, 69)","(3, 3, 6)"
IR022.jpg,"(0, 18, 20, 82)","(49.269, 2.972, 1.735)","(7, 20.45, 17.25)",14.76,4931,"(44, 36, 35)","(2, 2, 2)"
IR023.jpg,"(0, 22, 30, 55)","(67.104, 4.816, 6.011)","(17, 30.97, 44.31)",36.31,4288,"(113, 92, 78)","(12, 11, 9)"
IR024.jpg,"(16, 9, 0, 79)","(53.191, -0.477, -3.02)","(213, 16.98, 20.78)",18.63,9134,"(44, 46, 53)","(3, 3, 4)"
