NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(17, 10, 0, 49)","(72.122, -0.339, -5.006)","(217, 17.97, 50.2)",44.35,9342,"(105, 111, 128)","(15, 16, 23)"
"(25, 15, 0, 61)","(64.52, -0.531, -6.372)","(216, 25.25, 38.82)",32.53,12174,"(74, 81, 99)","(8, 8, 12)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(36, 23, 0, 32)","(75.5, -0.035, -12.678)","(219, 36.84, 67.06)",50.31,25548,"(108, 124, 171)","(21, 21, 41)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(39, 22, 0, 27)","(78.136, -2.169, -12.696)","(213, 39.78, 72.94)",55.27,40000,"(112, 134, 186)","(25, 26, 50)"
"(28, 19, 0, 28)","(79.188, 0.598, -10.261)","(222, 28.42, 71.76)",57.33,14098,"(131, 143, 183)","(28, 29, 48)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 99)","(0.274, 0.0, -0.0)","(0, 0.0, 0.39)",0.39,6507,"(1, 1, 1)","(0, 0, 0)"
"(24, 16, 0, 49)","(70.8, 0.39, -7.645)","(221, 24.62, 50.98)",42.14,11780,"(98, 105, 130)","(14, 14, 22)"
"(28, 17, 0, 32)","(77.767, -0.589, -9.227)","(217, 28.65, 67.06)",54.56,14388,"(122, 135, 171)","(24, 26, 42)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(14, 7, 0, 34)","(80.44, -0.749, -4.083)","(213, 14.37, 65.49)",59.84,8500,"(143, 150, 167)","(29, 31, 41)"
"(25, 17, 0, 42)","(73.809, 0.604, -8.357)","(222, 25.17, 57.65)",47.27,12174,"(110, 118, 147)","(18, 19, 30)"
"(26, 19, 0, 56)","(66.11, 0.807, -7.981)","(223, 26.36, 43.14)",34.83,12825,"(81, 87, 110)","(9, 10, 16)"
"(32, 18, 0, 16)","(83.727, -1.768, -10.898)","(213, 32.86, 83.53)",66.75,18193,"(143, 164, 213)","(38, 40, 69)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(28, 16, 0, 25)","(80.981, -1.086, -9.376)","(215, 28.95, 74.51)",60.95,14388,"(135, 151, 190)","(31, 33, 52)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(27, 17, 0, 59)","(65.071, -0.368, -7.402)","(217, 27.88, 40.78)",33.32,13822,"(75, 82, 104)","(8, 8, 14)"
"(25, 14, 0, 28)","(80.692, -0.846, -7.998)","(215, 25.14, 71.76)",60.36,12174,"(137, 150, 183)","(30, 32, 49)"
"(100, 0, 0, 99)","(0.216, -0.261, -0.092)","(180, 100.0, 0.39)",0.31,40000,"(0, 0, 1)","(0, 0, 0)"
"(32, 21, 0, 65)","(59.98, 0.331, -8.532)","(221, 32.18, 34.12)",26.45,17714,"(59, 65, 87)","(5, 5, 10)"
"(39, 25, 0, 48)","(68.067, -0.347, -12.149)","(218, 39.69, 51.37)",37.78,40000,"(79, 92, 131)","(11, 11, 23)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(36, 18, 0, 49)","(69.634, -2.637, -9.469)","(210, 36.92, 50.98)",40.25,26788,"(82, 98, 130)","(12, 13, 22)"
"(21, 11, 0, 37)","(77.924, -1.246, -5.936)","(212, 21.25, 62.75)",54.86,10459,"(126, 136, 160)","(24, 26, 36)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(30, 17, 0, 19)","(82.788, -1.2, -10.138)","(215, 30.39, 80.0)",64.73,15684,"(142, 160, 204)","(35, 37, 62)"
"(24, 13, 0, 19)","(84.769, -1.456, -7.623)","(212, 24.27, 80.78)",69.04,11594,"(156, 171, 206)","(40, 43, 64)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(31, 19, 0, 60)","(63.945, -0.361, -8.373)","(218, 31.37, 40.0)",31.72,16432,"(70, 78, 102)","(7, 7, 13)"
"(20, 15, 0, 56)","(67.197, 0.754, -6.331)","(224, 20.91, 43.14)",36.45,10318,"(87, 91, 110)","(10, 11, 16)"
