Basename,NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
127(1).jpg,"(2, 9, 0, 22)","(85.904, 4.104, -3.597)","(287, 9.64, 77.25)",71.59,6824,"(193, 178, 197)","(48, 47, 59)"
127.jpg,"(2, 9, 0, 22)","(85.904, 4.104, -3.597)","(287, 9.64, 77.25)",71.59,6824,"(193, 178, 197)","(48, 47, 59)"
IR000.jpg,"(0, 16, 25, 50)","(70.85, 3.41, 5.482)","(21, 25.6, 49.02)",42.22,4599,"(125, 109, 93)","(15, 15, 12)"
IR002.jpg,"(84, 51, 0, 25)","(65.248, -2.978, -33.509)","(216, 84.66, 74.12)",33.57,40000,"(29, 74, 189)","(13, 11, 49)"
IR003.jpg,"(8, 3, 0, 14)","(90.354, -0.866, -2.267)","(207, 8.22, 85.88)",82.14,7457,"(201, 207, 219)","(59, 63, 76)"
IR004.jpg,"(27, 18, 0, 57)","(65.978, 0.166, -7.835)","(220, 27.52, 42.75)",34.63,13557,"(79, 86, 109)","(9, 9, 15)"
IR005.jpg,"(11, 7, 0, 56)","(69.605, -0.17, -3.06)","(217, 11.71, 43.53)",40.2,7984,"(98, 101, 111)","(12, 13, 17)"
IR006.jpg,"(6, 1, 0, 16)","(90.104, -1.429, -1.25)","(193, 6.57, 83.53)",81.52,7262,"(199, 205, 213)","(58, 62, 72)"
IR007.jpg,"(8, 2, 0, 6)","(93.555, -1.685, -1.981)","(197, 8.79, 93.73)",90.29,7563,"(218, 226, 239)","(73, 79, 92)"
IR008.jpg,"(0, 8, 15, 27)","(83.783, 1.651, 4.04)","(26, 15.22, 72.16)",66.88,5317,"(184, 177, 156)","(39, 40, 36)"
IR009.jpg,"(0, 11, 15, 55)","(69.822, 2.391, 2.791)","(17, 15.79, 44.71)",40.55,5260,"(114, 102, 96)","(13, 13, 13)"
IR010.jpg,"(0, 16, 25, 38)","(77.216, 3.523, 6.317)","(22, 25.95, 61.96)",53.51,4574,"(158, 140, 117)","(25, 24, 20)"
IR011.jpg,"(18, 4, 0, 10)","(90.586, -4.05, -3.809)","(194, 18.5, 89.02)",82.71,9562,"(185, 203, 227)","(58, 65, 82)"
IR012.jpg,"(0, 14, 15, 53)","(70.34, 3.747, 1.719)","(3, 15.13, 46.67)",41.39,5317,"(119, 102, 101)","(14, 14, 14)"
IR013.jpg,"(7, 1, 0, 18)","(89.278, -1.525, -1.543)","(195, 7.66, 81.96)",79.5,7406,"(193, 199, 209)","(55, 59, 69)"
IR014.jpg,"(7, 4, 0, 9)","(91.927, -0.017, -2.623)","(219, 7.36, 90.59)",86.09,7356,"(214, 218, 231)","(67, 71, 85)"
